date,4 browsers,3 browsers,2 browsers,flaky in 1 browser,slow in 1 browser,timeout in 1 browser,disabled in 1 browser
2018-05-09,0,6,60,130,12,59,906
2018-05-11,0,6,60,130,12,59,908
2018-05-13,0,6,60,130,12,59,908
2018-05-15,0,6,60,125,13,59,904
2018-05-16,0,6,60,125,13,59,911
2018-05-17,0,5,58,126,13,59,913
2018-05-19,0,5,55,126,15,59,914
2018-05-20,0,5,54,127,15,58,906
2018-05-21,0,5,55,126,15,58,906
2018-05-22,0,3,57,128,15,58,906
2018-05-23,0,3,57,131,15,58,907
2018-05-24,0,3,57,131,15,58,906
2018-05-25,0,3,57,131,15,58,907
2018-05-26,0,3,57,131,15,57,906
2018-05-27,0,3,57,131,15,57,906
2018-05-28,0,3,57,130,15,57,906
2018-05-29,0,3,56,131,15,57,909
2018-05-30,0,3,56,133,15,55,909
2018-05-31,0,3,140,130,15,55,2298
2018-06-01,0,3,140,130,15,55,2298
2018-06-02,0,3,137,131,15,57,2301
2018-06-03,0,3,137,131,15,57,2301
2018-06-04,0,3,137,142,15,55,2301
2018-06-05,0,3,137,142,15,55,2302
2018-06-06,0,3,132,146,15,57,2303
2018-06-07,0,3,132,147,15,57,2303
2018-06-08,0,3,132,147,15,57,2306
2018-06-09,0,3,132,147,13,60,2305
2018-06-10,0,3,131,148,13,60,2304
2018-06-11,0,3,129,145,13,60,2305
2018-06-12,0,3,129,144,13,60,2314
2018-06-13,0,3,129,144,13,60,2314
2018-06-14,0,3,129,144,13,60,2313
2018-06-15,0,3,129,143,13,61,2310
2018-06-16,0,3,129,143,13,63,2310
2018-06-17,0,3,131,146,13,62,2309
2018-06-18,0,3,131,146,13,62,2311
2018-06-19,0,3,131,147,13,62,2311
2018-06-20,0,3,131,147,13,64,2311
2018-06-21,0,3,131,148,13,61,2311
2018-06-22,0,3,128,148,13,61,2316
2018-06-23,0,3,128,151,13,61,2317
2018-06-24,0,3,128,151,13,61,2317
2018-06-25,0,3,126,149,13,63,2319
2018-06-26,0,3,126,150,13,63,2345
2018-06-27,0,3,130,150,13,62,2386
2018-06-28,0,3,130,149,13,61,2387
2018-06-29,0,3,130,148,13,61,2387
2018-06-30,0,3,129,149,13,61,2387
2018-07-01,0,3,129,149,13,61,2387
2018-07-02,0,3,129,150,13,61,2387
2018-07-03,0,3,129,149,13,61,2387
2018-07-04,0,3,129,147,13,60,2401
2018-07-05,0,3,129,147,13,62,2403
2018-07-06,0,3,129,147,13,64,2400
2018-07-07,0,3,129,146,13,64,2407
2018-07-08,0,3,129,146,13,64,2407
2018-07-09,0,3,129,146,13,64,2407
2018-07-10,0,3,129,146,13,64,2405
2018-07-11,0,3,129,143,13,53,2404
2018-07-12,0,3,129,144,13,52,2404
2018-07-13,0,3,129,146,13,55,2401
2018-07-14,0,3,130,146,13,54,2402
2018-07-15,0,3,130,146,13,54,2402
2018-07-16,0,3,130,147,13,51,2402
2018-07-17,0,4,129,145,13,51,2402
2018-07-18,0,4,127,142,12,51,2411
2018-07-19,0,4,130,142,12,53,2408
2018-07-20,0,4,130,142,12,54,2398
2018-07-21,0,4,130,142,12,54,2398
2018-07-22,0,4,130,142,12,54,2399
2018-07-23,0,4,130,142,12,54,2399
2018-07-24,0,4,130,142,12,54,2399
2018-07-25,0,4,130,142,12,54,2399
2018-07-26,0,4,128,143,12,54,2397
2018-07-27,0,4,128,143,12,54,2397
2018-07-28,0,4,128,147,12,55,2396
2018-07-29,0,4,136,146,78,55,2388
2018-07-30,0,4,136,146,78,55,2388
2018-07-31,0,4,136,147,78,55,2389
2018-08-01,0,4,136,149,78,55,2389
2018-08-02,0,4,136,149,78,52,2389
2018-08-03,0,4,135,149,78,53,2390
2018-08-04,0,4,135,149,78,53,2391
2018-08-05,0,4,135,149,78,53,2391
2018-08-06,0,4,135,149,78,53,2391
2018-08-07,0,4,135,151,78,53,2396
2018-08-08,0,4,136,150,78,53,2394
2018-08-09,0,4,136,150,78,53,2395
2018-08-10,0,4,136,150,78,55,2395
2018-08-11,0,4,136,150,78,55,2395
2018-08-12,0,4,136,150,78,55,2396
2018-08-13,0,4,136,151,78,55,2398
2018-08-14,0,4,139,151,78,54,2405
2018-08-15,0,4,139,151,78,54,2405
2018-08-16,0,4,139,150,78,54,2406
2018-08-17,0,4,139,147,78,54,2406
2018-08-18,0,5,173,123,362,3,2375
2018-08-19,0,5,173,122,362,5,2375
2018-08-20,0,5,173,125,362,5,2375
2018-08-21,0,5,173,125,362,6,2375
2018-08-22,0,5,173,127,362,6,2373
2018-08-23,0,5,172,126,362,6,2373
2018-08-24,0,5,172,131,362,8,2375
2018-08-25,0,5,172,127,362,8,2393
2018-08-26,0,5,172,127,362,8,2392
2018-08-27,0,5,172,127,362,8,2392
2018-08-28,0,5,172,128,362,10,2394
2018-08-29,0,5,172,127,375,9,2394
2018-08-30,0,5,172,133,376,10,2396
2018-08-31,0,5,172,133,376,10,2383
2018-09-01,0,5,172,135,376,10,2378
2018-09-02,0,5,172,135,376,10,2378
2018-09-03,0,5,172,134,376,10,2378
2018-09-04,0,5,172,134,376,9,2379
2018-09-05,0,5,172,136,329,9,2379
2018-09-06,0,5,172,136,329,9,2373
2018-09-07,0,5,172,135,329,11,2381
2018-09-08,0,4,174,133,328,12,2386
2018-09-09,0,4,174,133,328,12,2386
2018-09-10,0,4,174,133,328,12,2386
2018-09-11,0,4,174,135,326,10,2387
2018-09-12,0,4,174,133,326,10,2387
2018-09-13,0,4,174,132,326,10,2389
2018-09-14,0,4,174,132,326,10,2388
2018-09-15,0,4,174,132,325,12,2386
2018-09-16,0,4,174,132,325,12,2386
2018-09-17,0,4,174,132,319,12,2392
2018-09-18,0,4,174,132,319,12,2392
2018-09-19,0,4,173,132,320,12,2391
2018-09-20,0,4,174,132,320,11,2391
2018-09-21,0,4,174,132,320,11,2391
2018-09-22,0,4,174,132,320,11,2391
2018-09-23,0,4,174,132,320,11,2391
2018-09-24,0,4,174,132,320,11,2399
2018-09-25,0,4,176,133,321,16,2404
2018-09-26,0,4,176,133,321,16,2402
2018-09-27,0,4,176,133,321,16,2402
2018-09-28,0,4,176,133,321,17,2402
2018-09-29,0,4,176,133,321,17,2406
2018-09-30,0,4,176,133,321,17,2406
2018-10-01,0,4,176,133,321,18,2406
2018-10-02,0,4,176,133,321,26,2406
2018-10-03,0,4,176,133,321,26,2403
2018-10-04,0,4,176,132,321,26,2402
2018-10-05,0,4,176,132,321,26,2402
2018-10-06,0,4,176,132,321,26,2403
2018-10-07,0,4,176,132,321,26,2403
2018-10-08,0,4,176,132,321,26,2403
2018-10-09,0,4,176,132,321,26,2403
2018-10-10,0,4,176,132,321,29,2403
2018-10-11,0,4,176,132,321,29,2403
2018-10-12,0,4,176,132,321,30,2406
2018-10-13,0,4,176,132,321,30,2412
2018-10-14,0,4,176,132,321,30,2412
2018-10-15,0,4,176,132,321,29,2412
2018-10-16,0,4,176,133,321,30,2416
2018-10-17,0,4,176,130,321,30,2421
2018-10-18,0,4,177,130,320,30,2422
2018-10-19,0,4,177,130,320,30,2422
2018-10-20,0,4,177,130,320,30,2422
2018-10-21,0,4,177,130,320,30,2422
2018-10-22,0,4,177,130,320,30,2422
2018-10-23,0,4,177,132,320,32,2422
2018-10-24,0,4,177,141,320,37,2422
2018-10-25,0,4,177,142,320,37,2422
2018-10-26,0,4,177,142,320,37,2422
2018-10-27,0,4,178,142,320,37,2421
2018-10-28,0,4,178,143,320,37,2421
2018-10-29,0,4,178,143,320,37,2422
2018-10-30,0,4,178,141,320,36,2423
2018-10-31,0,4,178,135,320,35,2425
